Blocos;Tratamentos;nsemanas
I;A;9,3
II;A;13,5
III;A;13,8
IV;A;12,9
V;A;10,8
VI;A;8,7
VII;A;12
VIII;A;6,9
IX;A;6,6
X;A;6,3
XI;A;5,4
XII;A;6,9
I;B;24,6
II;B;33
III;B;26,4
IV;B;21,6
V;B;27,6
VI;B;18,3
VII;B;14,7
VIII;B;37,2
IX;B;9
X;B;11,1
XI;B;11,4
XII;B;8,7
I;C;12,9
II;C;13,5
III;C;18,9
IV;C;22,8
V;C;13,2
VI;C;10,5
VII;C;9,3
VIII;C;12
IX;C;6,9
X;C;7,5
XI;C;7,2
XII;C;6,6
I;D;13,5
II;D;21,3
III;D;19,8
IV;D;18,6
V;D;16,8
VI;D;30,6
VII;D;21,3
VIII;D;11,4
IX;D;9
X;D;10,8
XI;D;9,3
XII;D;9,9